_id,name,address,pinCode,jobFunctional,phone,annualRevenue,cleanCode,reference_assignment,userId,__v
6593b5138ba5f930aa76c10a,Dummy Assignment 16,Dummy Address 16,443555,Job 16,+16456882053,184997,Clean Code 16,,658fde23e28e9adb65f56ce1,0
6593b5188ba5f930aa76c172,Dummy Assignment 68,Dummy Address 68,931605,Job 68,+18085538959,732088,Clean Code 68,,658fde23e28e9adb65f56ce1,0
6593b51c8ba5f930aa76c1ce,Dummy Assignment 114,Dummy Address 114,246251,Job 114,+15569260668,831293,Clean Code 114,,658fde23e28e9adb65f56ce1,0
6593b5168ba5f930aa76c152,Dummy Assignment 52,Dummy Address 52,919582,Job 52,+13786555856,613506,Clean Code 52,,658fde23e28e9adb65f56ce1,0
6593b5288ba5f930aa76c302,Dummy Assignment 268,Dummy Address 268,845240,Job 268,+13896363822,840004,Clean Code 268,,658fde23e28e9adb65f56ce1,0
6593b5208ba5f930aa76c240,Dummy Assignment 171,Dummy Address 171,401757,Job 171,+15865453202,459543,Clean Code 171,,658fde23e28e9adb65f56ce1,0
6593b51e8ba5f930aa76c20c,Dummy Assignment 145,Dummy Address 145,613127,Job 145,+13786068104,588494,Clean Code 145,,658fde23e28e9adb65f56ce1,0
6593b5338ba5f930aa76c43a,Dummy Assignment 424,Dummy Address 424,303772,Job 424,+13980127172,950484,Clean Code 424,,658fde23e28e9adb65f56ce1,0
6593b51d8ba5f930aa76c1f8,Dummy Assignment 135,Dummy Address 135,505942,Job 135,+18723817394,907962,Clean Code 135,,658fde23e28e9adb65f56ce1,0
6593b51e8ba5f930aa76c208,Dummy Assignment 143,Dummy Address 143,207752,Job 143,+19378504193,917044,Clean Code 143,,658fde23e28e9adb65f56ce1,0
6593b5368ba5f930aa76c482,Dummy Assignment 460,Dummy Address 460,585754,Job 460,+12836208339,120756,Clean Code 460,,658fde23e28e9adb65f56ce1,0
6593b5358ba5f930aa76c470,Dummy Assignment 451,Dummy Address 451,643127,Job 451,+18068572064,669906,Clean Code 451,,658fde23e28e9adb65f56ce1,0
6593b5378ba5f930aa76c4a0,Dummy Assignment 475,Dummy Address 475,150277,Job 475,+14553751173,534927,Clean Code 475,,658fde23e28e9adb65f56ce1,0
6593b51f8ba5f930aa76c222,Dummy Assignment 156,Dummy Address 156,243576,Job 156,+17224570665,392947,Clean Code 156,,658fde23e28e9adb65f56ce1,0
6593b5168ba5f930aa76c154,Dummy Assignment 53,Dummy Address 53,198538,Job 53,+13152357655,447582,Clean Code 53,,658fde23e28e9adb65f56ce1,0
6593b5358ba5f930aa76c462,Dummy Assignment 444,Dummy Address 444,358072,Job 444,+13875153060,337709,Clean Code 444,,658fde23e28e9adb65f56ce1,0
6593b51d8ba5f930aa76c1fa,Dummy Assignment 136,Dummy Address 136,247875,Job 136,+19938098086,440595,Clean Code 136,,658fde23e28e9adb65f56ce1,0
6593b51b8ba5f930aa76c1b6,Dummy Assignment 102,Dummy Address 102,863757,Job 102,+17241752164,687397,Clean Code 102,,658fde23e28e9adb65f56ce1,0
6593b5248ba5f930aa76c2a2,Dummy Assignment 220,Dummy Address 220,776015,Job 220,+16816728875,685374,Clean Code 220,,658fde23e28e9adb65f56ce1,0
6593b5268ba5f930aa76c2dc,Dummy Assignment 249,Dummy Address 249,831314,Job 249,+12555190181,846776,Clean Code 249,,658fde23e28e9adb65f56ce1,0
6593b52b8ba5f930aa76c364,Dummy Assignment 317,Dummy Address 317,803496,Job 317,+18485017453,645320,Clean Code 317,,658fde23e28e9adb65f56ce1,0
6593b52a8ba5f930aa76c344,Dummy Assignment 301,Dummy Address 301,251327,Job 301,+17170638519,922828,Clean Code 301,,658fde23e28e9adb65f56ce1,0
6593b5238ba5f930aa76c282,Dummy Assignment 204,Dummy Address 204,388916,Job 204,+13334067286,445735,Clean Code 204,,658fde23e28e9adb65f56ce1,0
6593b5228ba5f930aa76c272,Dummy Assignment 196,Dummy Address 196,162058,Job 196,+11388313081,699517,Clean Code 196,,658fde23e28e9adb65f56ce1,0
6593b51c8ba5f930aa76c1cc,Dummy Assignment 113,Dummy Address 113,462533,Job 113,+13955289283,223387,Clean Code 113,,658fde23e28e9adb65f56ce1,0
6593b5208ba5f930aa76c236,Dummy Assignment 166,Dummy Address 166,459726,Job 166,+19193608886,195513,Clean Code 166,,658fde23e28e9adb65f56ce1,0
6593b51a8ba5f930aa76c1b0,Dummy Assignment 99,Dummy Address 99,919866,Job 99,+13592175298,227456,Clean Code 99,,658fde23e28e9adb65f56ce1,0
6593b5278ba5f930aa76c2e4,Dummy Assignment 253,Dummy Address 253,717762,Job 253,+13911596356,772364,Clean Code 253,,658fde23e28e9adb65f56ce1,0
6593b5198ba5f930aa76c18c,Dummy Assignment 81,Dummy Address 81,574722,Job 81,+18686324702,834121,Clean Code 81,,658fde23e28e9adb65f56ce1,0
6593b5138ba5f930aa76c108,Dummy Assignment 15,Dummy Address 15,946883,Job 15,+12385846106,311303,Clean Code 15,,658fde23e28e9adb65f56ce1,0
6593b52f8ba5f930aa76c3d4,Dummy Assignment 373,Dummy Address 373,619934,Job 373,+19471229754,476682,Clean Code 373,,658fde23e28e9adb65f56ce1,0
6593b5198ba5f930aa76c188,Dummy Assignment 79,Dummy Address 79,627267,Job 79,+13714631021,928654,Clean Code 79,,658fde23e28e9adb65f56ce1,0
6593b5178ba5f930aa76c168,Dummy Assignment 63,Dummy Address 63,370496,Job 63,+13166434588,664134,Clean Code 63,,658fde23e28e9adb65f56ce1,0
6593b5228ba5f930aa76c26a,Dummy Assignment 192,Dummy Address 192,236294,Job 192,+15073663501,472368,Clean Code 192,,658fde23e28e9adb65f56ce1,0
